Data Periods,Mode of Travel,Zone ID,Zone Name,Line Zone Length (Miles),Zone Is Pass-Through,Zone Direction (degrees),Zone is Bi-Direction,Year-Month,Day Type,Day Part,Average Daily Segment Traffic (StL Volume),Avg Segment Speed (mph),Avg Segment Travel Time (sec),Free Flow Speed (mph),Free Flow Factor,Vehicle Miles of Travel (StL Volume),Vehicle Hours of Delay (StL Volume),5th Speed Percentile,15th Speed Percentile,50th Speed Percentile,75th Speed Percentile,85th Speed Percentile,95th Speed Percentile
"Jun 01, 2019 - Jun 01, 2020",All Vehicles - StL All Vehicles Volume,N/A,Clinton Street / 13406503 / 8,0.059,yes,269,yes,2019-06,4: Thursday (Th-Th),5: Late PM (7pm-12am),375,14,15,18.330,0.772,22.32,0.36,7.000,10.000,14.000,16.000,18.000,20.000
"Jun 01, 2019 - Jun 01, 2020",All Vehicles - StL All Vehicles Volume,N/A,Clinton Street / 13406503 / 8,0.059,yes,269,yes,2019-06,5: Friday (F-F),0: All Day (12am-12am),2625,14,15,18.330,0.760,156.12,2.70,8.000,11.000,14.000,16.000,17.000,19.000
"Jun 01, 2019 - Jun 01, 2020",All Vehicles - StL All Vehicles Volume,N/A,Clinton Street / 13406503 / 8,0.059,yes,269,yes,2019-06,5: Friday (F-F),1: Early AM (12am-6am),19,17,13,18.330,0.929,1.12,0.00,N/A,N/A,N/A,N/A,N/A,N/A
"Jun 01, 2019 - Jun 01, 2020",All Vehicles - StL All Vehicles Volume,N/A,Clinton Street / 13406503 / 8,0.059,yes,269,yes,2019-06,5: Friday (F-F),2: Peak AM (6am-10am),113,15,14,18.330,0.838,6.74,0.07,10.000,14.000,16.000,18.000,18.000,20.000
"Jun 01, 2019 - Jun 01, 2020",All Vehicles - StL All Vehicles Volume,N/A,Clinton Street / 13406503 / 8,0.059,yes,269,yes,2019-06,5: Friday (F-F),3: Mid-Day (10am-3pm),758,15,15,18.330,0.793,45.07,0.64,8.000,11.000,15.000,17.000,18.000,20.000
"Jun 01, 2019 - Jun 01, 2020",All Vehicles - StL All Vehicles Volume,N/A,Clinton Street / 13406503 / 8,0.059,yes,269,yes,2019-06,5: Friday (F-F),4: Peak PM (3pm-7pm),1251,14,16,18.330,0.743,74.41,1.41,9.000,11.000,13.000,15.000,17.000,19.000
"Jun 01, 2019 - Jun 01, 2020",All Vehicles - StL All Vehicles Volume,N/A,Clinton Street / 13406503 / 8,0.059,yes,269,yes,2019-06,5: Friday (F-F),5: Late PM (7pm-12am),484,13,16,18.330,0.727,28.78,0.59,7.000,10.000,14.000,16.000,17.000,20.000
"Jun 01, 2019 - Jun 01, 2020",All Vehicles - StL All Vehicles Volume,N/A,Clinton Street / 13406503 / 8,0.059,yes,269,yes,2019-06,6: Saturday (Sa-Sa),0: All Day (12am-12am),1838,14,16,18.330,0.744,109.28,2.05,7.000,10.000,14.000,16.000,17.000,19.000
"Jun 01, 2019 - Jun 01, 2020",All Vehicles - StL All Vehicles Volume,N/A,Clinton Street / 13406503 / 8,0.059,yes,269,yes,2019-06,6: Saturday (Sa-Sa),1: Early AM (12am-6am),53,15,14,18.330,0.806,3.15,0.04,12.000,14.000,16.000,17.000,17.000,21.000
"Jun 01, 2019 - Jun 01, 2020",All Vehicles - StL All Vehicles Volume,N/A,Clinton Street / 13406503 / 8,0.059,yes,269,yes,2019-06,6: Saturday (Sa-Sa),2: Peak AM (6am-10am),53,15,14,18.330,0.809,3.15,0.04,7.000,10.000,16.000,18.000,19.000,20.000
