Data Periods,Mode of Travel,Zone ID,Zone Name,Line Zone Length (Miles),Zone Is Pass-Through,Zone Direction (degrees),Zone is Bi-Direction,Year-Month,Day Type,Day Part,Average Daily Segment Traffic (StL Volume),Avg Segment Speed (mph),Avg Segment Travel Time (sec),Free Flow Speed (mph),Free Flow Factor,Vehicle Miles of Travel (StL Volume),Vehicle Hours of Delay (StL Volume)
"Jan 01, 2024 - Dec 31, 2024",All Vehicles - StL All Vehicles Volume,N/A,South Hoover Street / 17167706,0.301,yes,180,yes,2024-02,2: Tuesday (Tu-Tu),1: Early AM (12am-6am),254,24,44,25.541,0.958,76.69,0.13
"Jan 01, 2024 - Dec 31, 2024",All Vehicles - StL All Vehicles Volume,N/A,South Hoover Street / 17167706,0.301,yes,180,yes,2024-02,2: Tuesday (Tu-Tu),2: Peak AM (6am-10am),1184,23,48,25.541,0.892,356.99,1.69
"Jan 01, 2024 - Dec 31, 2024",All Vehicles - StL All Vehicles Volume,N/A,South Hoover Street / 17167706,0.301,yes,180,yes,2024-02,2: Tuesday (Tu-Tu),3: Mid-Day (10am-3pm),1215,23,48,25.541,0.893,366.38,1.72
"Jan 01, 2024 - Dec 31, 2024",All Vehicles - StL All Vehicles Volume,N/A,South Hoover Street / 17167706,0.301,yes,180,yes,2024-02,2: Tuesday (Tu-Tu),4: Peak PM (3pm-7pm),1579,23,48,25.541,0.884,476.17,2.45
"Jan 01, 2024 - Dec 31, 2024",All Vehicles - StL All Vehicles Volume,N/A,South Hoover Street / 17167706,0.301,yes,180,yes,2024-02,2: Tuesday (Tu-Tu),5: Late PM (7pm-12am),773,23,47,25.541,0.912,232.93,0.88
"Jan 01, 2024 - Dec 31, 2024",All Vehicles - StL All Vehicles Volume,N/A,South Hoover Street / 17167706,0.301,yes,180,yes,2024-02,3: Wednesday (W-W),0: All Day (12am-12am),5348,23,47,25.541,0.909,1612.30,6.30
"Jan 01, 2024 - Dec 31, 2024",All Vehicles - StL All Vehicles Volume,N/A,South Hoover Street / 17167706,0.301,yes,180,yes,2024-02,3: Wednesday (W-W),1: Early AM (12am-6am),283,24,44,25.541,0.958,85.44,0.15
"Jan 01, 2024 - Dec 31, 2024",All Vehicles - StL All Vehicles Volume,N/A,South Hoover Street / 17167706,0.301,yes,180,yes,2024-02,3: Wednesday (W-W),2: Peak AM (6am-10am),1260,23,47,25.541,0.903,379.88,1.59
"Jan 01, 2024 - Dec 31, 2024",All Vehicles - StL All Vehicles Volume,N/A,South Hoover Street / 17167706,0.301,yes,180,yes,2024-02,3: Wednesday (W-W),3: Mid-Day (10am-3pm),1198,23,47,25.541,0.905,361.23,1.49
"Jan 01, 2024 - Dec 31, 2024",All Vehicles - StL All Vehicles Volume,N/A,South Hoover Street / 17167706,0.301,yes,180,yes,2024-02,3: Wednesday (W-W),4: Peak PM (3pm-7pm),1713,23,47,25.541,0.903,516.36,2.17
"Jan 01, 2024 - Dec 31, 2024",All Vehicles - StL All Vehicles Volume,N/A,South Hoover Street / 17167706,0.301,yes,180,yes,2024-02,3: Wednesday (W-W),5: Late PM (7pm-12am),894,24,46,25.541,0.920,269.40,0.91
"Jan 01, 2024 - Dec 31, 2024",All Vehicles - StL All Vehicles Volume,N/A,South Hoover Street / 17167706,0.301,yes,180,yes,2024-02,4: Thursday (Th-Th),0: All Day (12am-12am),4759,23,47,25.541,0.903,1434.92,6.01
"Jan 01, 2024 - Dec 31, 2024",All Vehicles - StL All Vehicles Volume,N/A,South Hoover Street / 17167706,0.301,yes,180,yes,2024-02,4: Thursday (Th-Th),1: Early AM (12am-6am),284,25,44,25.541,0.965,85.53,0.12
"Jan 01, 2024 - Dec 31, 2024",All Vehicles - StL All Vehicles Volume,N/A,South Hoover Street / 17167706,0.301,yes,180,yes,2024-02,4: Thursday (Th-Th),2: Peak AM (6am-10am),1180,23,48,25.541,0.886,355.81,1.79
"Jan 01, 2024 - Dec 31, 2024",All Vehicles - StL All Vehicles Volume,N/A,South Hoover Street / 17167706,0.301,yes,180,yes,2024-02,4: Thursday (Th-Th),3: Mid-Day (10am-3pm),1289,23,47,25.541,0.905,388.76,1.59
"Jan 01, 2024 - Dec 31, 2024",All Vehicles - StL All Vehicles Volume,N/A,South Hoover Street / 17167706,0.301,yes,180,yes,2024-02,4: Thursday (Th-Th),4: Peak PM (3pm-7pm),1360,23,48,25.541,0.894,410.00,1.91
"Jan 01, 2024 - Dec 31, 2024",All Vehicles - StL All Vehicles Volume,N/A,South Hoover Street / 17167706,0.301,yes,180,yes,2024-02,4: Thursday (Th-Th),5: Late PM (7pm-12am),646,24,46,25.541,0.924,194.82,0.63
"Jan 01, 2024 - Dec 31, 2024",All Vehicles - StL All Vehicles Volume,N/A,South Hoover Street / 17167706,0.301,yes,180,yes,2024-02,5: Friday (F-F),0: All Day (12am-12am),5540,23,47,25.541,0.902,1670.35,7.08
"Jan 01, 2024 - Dec 31, 2024",All Vehicles - StL All Vehicles Volume,N/A,South Hoover Street / 17167706,0.301,yes,180,yes,2024-02,5: Friday (F-F),1: Early AM (12am-6am),308,25,44,25.541,0.967,92.82,0.13
"Jan 01, 2024 - Dec 31, 2024",All Vehicles - StL All Vehicles Volume,N/A,South Hoover Street / 17167706,0.301,yes,180,yes,2024-02,5: Friday (F-F),2: Peak AM (6am-10am),1136,23,47,25.541,0.907,342.50,1.38
"Jan 01, 2024 - Dec 31, 2024",All Vehicles - StL All Vehicles Volume,N/A,South Hoover Street / 17167706,0.301,yes,180,yes,2024-02,5: Friday (F-F),3: Mid-Day (10am-3pm),1314,23,47,25.541,0.896,396.21,1.80
"Jan 01, 2024 - Dec 31, 2024",All Vehicles - StL All Vehicles Volume,N/A,South Hoover Street / 17167706,0.301,yes,180,yes,2024-02,5: Friday (F-F),4: Peak PM (3pm-7pm),1706,23,48,25.541,0.882,514.23,2.69
"Jan 01, 2024 - Dec 31, 2024",All Vehicles - StL All Vehicles Volume,N/A,South Hoover Street / 17167706,0.301,yes,180,yes,2024-02,5: Friday (F-F),5: Late PM (7pm-12am),1077,23,46,25.541,0.919,324.60,1.13
"Jan 01, 2024 - Dec 31, 2024",All Vehicles - StL All Vehicles Volume,N/A,South Hoover Street / 17167706,0.301,yes,180,yes,2024-02,6: Saturday (Sa-Sa),0: All Day (12am-12am),4847,23,47,25.541,0.904,1461.33,6.06
"Jan 01, 2024 - Dec 31, 2024",All Vehicles - StL All Vehicles Volume,N/A,South Hoover Street / 17167706,0.301,yes,180,yes,2024-02,6: Saturday (Sa-Sa),1: Early AM (12am-6am),325,25,44,25.541,0.972,97.87,0.11
"Jan 01, 2024 - Dec 31, 2024",All Vehicles - StL All Vehicles Volume,N/A,South Hoover Street / 17167706,0.301,yes,180,yes,2024-02,6: Saturday (Sa-Sa),2: Peak AM (6am-10am),613,24,46,25.541,0.927,184.74,0.57
"Jan 01, 2024 - Dec 31, 2024",All Vehicles - StL All Vehicles Volume,N/A,South Hoover Street / 17167706,0.301,yes,180,yes,2024-02,6: Saturday (Sa-Sa),3: Mid-Day (10am-3pm),1535,23,47,25.541,0.900,462.93,2.02
"Jan 01, 2024 - Dec 31, 2024",All Vehicles - StL All Vehicles Volume,N/A,South Hoover Street / 17167706,0.301,yes,180,yes,2024-02,6: Saturday (Sa-Sa),4: Peak PM (3pm-7pm),1342,23,48,25.541,0.884,404.64,2.07
"Jan 01, 2024 - Dec 31, 2024",All Vehicles - StL All Vehicles Volume,N/A,South Hoover Street / 17167706,0.301,yes,180,yes,2024-02,6: Saturday (Sa-Sa),5: Late PM (7pm-12am),1032,23,47,25.541,0.902,311.16,1.32
"Jan 01, 2024 - Dec 31, 2024",All Vehicles - StL All Vehicles Volume,N/A,South Hoover Street / 17167706,0.301,yes,180,yes,2024-02,7: Sunday (Su-Su),0: All Day (12am-12am),3829,23,46,25.541,0.915,1154.43,4.21
"Jan 01, 2024 - Dec 31, 2024",All Vehicles - StL All Vehicles Volume,N/A,South Hoover Street / 17167706,0.301,yes,180,yes,2024-02,7: Sunday (Su-Su),1: Early AM (12am-6am),333,24,44,25.541,0.958,100.35,0.17
"Jan 01, 2024 - Dec 31, 2024",All Vehicles - StL All Vehicles Volume,N/A,South Hoover Street / 17167706,0.301,yes,180,yes,2024-02,7: Sunday (Su-Su),2: Peak AM (6am-10am),454,24,45,25.541,0.949,137.01,0.29
"Jan 01, 2024 - Dec 31, 2024",All Vehicles - StL All Vehicles Volume,N/A,South Hoover Street / 17167706,0.301,yes,180,yes,2024-02,7: Sunday (Su-Su),3: Mid-Day (10am-3pm),1334,23,47,25.541,0.912,402.24,1.51
"Jan 01, 2024 - Dec 31, 2024",All Vehicles - StL All Vehicles Volume,N/A,South Hoover Street / 17167706,0.301,yes,180,yes,2024-02,7: Sunday (Su-Su),4: Peak PM (3pm-7pm),973,23,47,25.541,0.904,293.33,1.22
"Jan 01, 2024 - Dec 31, 2024",All Vehicles - StL All Vehicles Volume,N/A,South Hoover Street / 17167706,0.301,yes,180,yes,2024-02,7: Sunday (Su-Su),5: Late PM (7pm-12am),735,23,48,25.541,0.893,221.50,1.04
"Jan 01, 2024 - Dec 31, 2024",All Vehicles - StL All Vehicles Volume,N/A,South Hoover Street / 17167706,0.301,yes,180,yes,2024-03,0: All Days (M-Su),0: All Day (12am-12am),5064,23,47,25.900,0.899,1526.64,6.62
"Jan 01, 2024 - Dec 31, 2024",All Vehicles - StL All Vehicles Volume,N/A,South Hoover Street / 17167706,0.301,yes,180,yes,2024-03,0: All Days (M-Su),1: Early AM (12am-6am),321,25,44,25.900,0.960,96.85,0.16
"Jan 01, 2024 - Dec 31, 2024",All Vehicles - StL All Vehicles Volume,N/A,South Hoover Street / 17167706,0.301,yes,180,yes,2024-03,0: All Days (M-Su),2: Peak AM (6am-10am),931,23,47,25.900,0.900,280.57,1.21
"Jan 01, 2024 - Dec 31, 2024",All Vehicles - StL All Vehicles Volume,N/A,South Hoover Street / 17167706,0.301,yes,180,yes,2024-03,0: All Days (M-Su),3: Mid-Day (10am-3pm),1335,23,47,25.900,0.896,402.35,1.80
"Jan 01, 2024 - Dec 31, 2024",All Vehicles - StL All Vehicles Volume,N/A,South Hoover Street / 17167706,0.301,yes,180,yes,2024-03,0: All Days (M-Su),4: Peak PM (3pm-7pm),1494,23,47,25.900,0.885,450.50,2.25
"Jan 01, 2024 - Dec 31, 2024",All Vehicles - StL All Vehicles Volume,N/A,South Hoover Street / 17167706,0.301,yes,180,yes,2024-03,0: All Days (M-Su),5: Late PM (7pm-12am),983,23,46,25.900,0.903,296.37,1.24
"Jan 01, 2024 - Dec 31, 2024",All Vehicles - StL All Vehicles Volume,N/A,South Hoover Street / 17167706,0.301,yes,180,yes,2024-03,1: Monday (M-M),0: All Day (12am-12am),4993,23,47,25.900,0.900,1505.22,6.43
"Jan 01, 2024 - Dec 31, 2024",All Vehicles - StL All Vehicles Volume,N/A,South Hoover Street / 17167706,0.301,yes,180,yes,2024-03,1: Monday (M-M),1: Early AM (12am-6am),325,25,43,25.900,0.978,98.09,0.08
"Jan 01, 2024 - Dec 31, 2024",All Vehicles - StL All Vehicles Volume,N/A,South Hoover Street / 17167706,0.301,yes,180,yes,2024-03,1: Monday (M-M),2: Peak AM (6am-10am),1039,23,47,25.900,0.893,313.38,1.45
"Jan 01, 2024 - Dec 31, 2024",All Vehicles - StL All Vehicles Volume,N/A,South Hoover Street / 17167706,0.301,yes,180,yes,2024-03,1: Monday (M-M),3: Mid-Day (10am-3pm),1328,23,46,25.900,0.902,400.47,1.68
"Jan 01, 2024 - Dec 31, 2024",All Vehicles - StL All Vehicles Volume,N/A,South Hoover Street / 17167706,0.301,yes,180,yes,2024-03,1: Monday (M-M),4: Peak PM (3pm-7pm),1461,23,47,25.900,0.885,440.54,2.21
