Data Periods,Mode of Travel,Zone ID,Zone Name,Line Zone Length (Miles),Zone Is Pass-Through,Zone Direction (degrees),Zone is Bi-Direction,Year-Month,Day Type,Day Part,Average Daily Segment Traffic (StL Volume),Avg Segment Speed (mph),Avg Segment Travel Time (sec),Free Flow Speed (mph),Free Flow Factor,Vehicle Miles of Travel (StL Volume),Vehicle Hours of Delay (StL Volume),5th Speed Percentile,15th Speed Percentile,50th Speed Percentile,75th Speed Percentile,85th Speed Percentile,95th Speed Percentile
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,N/A,Clinton Street / 13406503 / 8,0.059,yes,269,yes,2022-06,5: Friday (F-F),1: Early AM (12am-6am),16,17,13,18.360,0.915,0.98,0.00,N/A,N/A,N/A,N/A,N/A,N/A
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,N/A,Clinton Street / 13406503 / 8,0.059,yes,269,yes,2022-06,5: Friday (F-F),2: Peak AM (6am-10am),141,14,15,18.360,0.767,8.40,0.14,9.000,11.000,14.000,16.000,18.000,20.000
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,N/A,Clinton Street / 13406503 / 8,0.059,yes,269,yes,2022-06,5: Friday (F-F),3: Mid-Day (10am-3pm),462,14,16,18.360,0.742,27.45,0.52,8.000,11.000,14.000,15.000,17.000,20.000
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,N/A,Clinton Street / 13406503 / 8,0.059,yes,269,yes,2022-06,5: Friday (F-F),4: Peak PM (3pm-7pm),808,14,16,18.360,0.742,48.04,0.91,9.000,11.000,14.000,15.000,16.000,20.000
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,N/A,Clinton Street / 13406503 / 8,0.059,yes,269,yes,2022-06,5: Friday (F-F),5: Late PM (7pm-12am),370,14,15,18.360,0.759,22.00,0.38,8.000,10.000,14.000,16.000,18.000,21.000
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,N/A,Clinton Street / 13406503 / 8,0.059,yes,269,yes,2022-06,6: Saturday (Sa-Sa),0: All Day (12am-12am),1427,13,16,18.360,0.716,84.83,1.84,7.000,9.000,13.000,15.000,16.000,20.000
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,N/A,Clinton Street / 13406503 / 8,0.059,yes,269,yes,2022-06,6: Saturday (Sa-Sa),1: Early AM (12am-6am),43,14,15,18.360,0.786,2.54,0.04,9.000,11.000,14.000,15.000,18.000,22.000
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,N/A,Clinton Street / 13406503 / 8,0.059,yes,269,yes,2022-06,6: Saturday (Sa-Sa),2: Peak AM (6am-10am),49,15,14,18.360,0.810,2.90,0.04,8.000,12.000,15.000,18.000,19.000,21.000
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,N/A,Clinton Street / 13406503 / 8,0.059,yes,269,yes,2022-06,6: Saturday (Sa-Sa),3: Mid-Day (10am-3pm),535,13,17,18.360,0.705,31.83,0.73,7.000,9.000,13.000,15.000,16.000,20.000
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,N/A,Clinton Street / 13406503 / 8,0.059,yes,269,yes,2022-06,6: Saturday (Sa-Sa),4: Peak PM (3pm-7pm),533,13,16,18.360,0.708,31.71,0.71,8.000,10.000,13.000,15.000,16.000,19.000
