Data Periods,Mode of Travel,Zone ID,Zone Name,Line Zone Length (Miles),Zone Is Pass-Through,Zone Direction (degrees),Zone is Bi-Direction,Year-Month,Day Type,Day Part,Average Daily Segment Traffic (StL Volume),Avg Segment Speed (mph),Avg Segment Travel Time (sec),Free Flow Speed (mph),Free Flow Factor,Vehicle Miles of Travel (StL Volume),Vehicle Hours of Delay (StL Volume),5th Speed Percentile,15th Speed Percentile,85th Speed Percentile,95th Speed Percentile
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,N/A,Oakdale Avenue / 13426687 / 4,0.05,yes,0,yes,2022-06,5: Friday (F-F),5: Late PM (7pm-12am),172,17,10,22.125,0.783,8.66,0.11,9.000,14.000,21.000,24.000
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,N/A,Oakdale Avenue / 13426687 / 4,0.05,yes,0,yes,2022-06,6: Saturday (Sa-Sa),0: All Day (12am-12am),666,18,10,22.125,0.818,33.49,0.34,12.000,14.000,22.000,27.000
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,N/A,Oakdale Avenue / 13426687 / 4,0.05,yes,0,yes,2022-06,6: Saturday (Sa-Sa),1: Early AM (12am-6am),20,20,9,22.125,0.900,0.99,0.00,N/A,N/A,N/A,N/A
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,N/A,Oakdale Avenue / 13426687 / 4,0.05,yes,0,yes,2022-06,6: Saturday (Sa-Sa),2: Peak AM (6am-10am),86,19,9,22.125,0.866,4.33,0.03,12.000,15.000,24.000,31.000
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,N/A,Oakdale Avenue / 13426687 / 4,0.05,yes,0,yes,2022-06,6: Saturday (Sa-Sa),3: Mid-Day (10am-3pm),228,18,10,22.125,0.835,11.48,0.10,12.000,14.000,22.000,28.000
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,N/A,Oakdale Avenue / 13426687 / 4,0.05,yes,0,yes,2022-06,6: Saturday (Sa-Sa),4: Peak PM (3pm-7pm),195,18,10,22.125,0.801,9.81,0.11,10.000,13.000,22.000,25.000
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,N/A,Oakdale Avenue / 13426687 / 4,0.05,yes,0,yes,2022-06,6: Saturday (Sa-Sa),5: Late PM (7pm-12am),137,17,11,22.125,0.771,6.89,0.09,12.000,13.000,21.000,23.000
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,N/A,Oakdale Avenue / 13426687 / 4,0.05,yes,0,yes,2022-06,7: Sunday (Su-Su),0: All Day (12am-12am),450,18,10,22.125,0.802,22.64,0.25,11.000,14.000,21.000,25.000
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,N/A,Oakdale Avenue / 13426687 / 4,0.05,yes,0,yes,2022-06,7: Sunday (Su-Su),1: Early AM (12am-6am),20,16,11,22.125,0.728,0.99,0.02,N/A,N/A,N/A,N/A
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,N/A,Oakdale Avenue / 13426687 / 4,0.05,yes,0,yes,2022-06,7: Sunday (Su-Su),2: Peak AM (6am-10am),51,17,11,22.125,0.778,2.56,0.03,12.000,14.000,21.000,22.000
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,N/A,Oakdale Avenue / 13426687 / 4,0.05,yes,0,yes,2022-06,7: Sunday (Su-Su),3: Mid-Day (10am-3pm),162,19,10,22.125,0.852,8.14,0.06,12.000,15.000,23.000,26.000
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,N/A,Oakdale Avenue / 13426687 / 4,0.05,yes,0,yes,2022-06,7: Sunday (Su-Su),4: Peak PM (3pm-7pm),130,18,10,22.125,0.801,6.52,0.07,10.000,14.000,21.000,23.000
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,N/A,Oakdale Avenue / 13426687 / 4,0.05,yes,0,yes,2022-06,7: Sunday (Su-Su),5: Late PM (7pm-12am),88,16,11,22.125,0.741,4.43,0.07,7.000,13.000,21.000,24.000
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,N/A,Oakdale Avenue / 13426687 / 5,0.052,yes,0,yes,2022-06,0: All Days (M-Su),0: All Day (12am-12am),552,16,12,19.225,0.811,28.66,0.35,9.000,12.000,19.000,22.000
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,N/A,Oakdale Avenue / 13426687 / 5,0.052,yes,0,yes,2022-06,0: All Days (M-Su),1: Early AM (12am-6am),17,15,12,19.225,0.795,0.88,0.01,6.000,11.000,20.000,23.000
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,N/A,Oakdale Avenue / 13426687 / 5,0.052,yes,0,yes,2022-06,0: All Days (M-Su),2: Peak AM (6am-10am),105,16,12,19.225,0.807,5.47,0.07,6.000,12.000,19.000,21.000
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,N/A,Oakdale Avenue / 13426687 / 5,0.052,yes,0,yes,2022-06,0: All Days (M-Su),3: Mid-Day (10am-3pm),165,16,12,19.225,0.821,8.55,0.10,9.000,12.000,19.000,22.000
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,N/A,Oakdale Avenue / 13426687 / 5,0.052,yes,0,yes,2022-06,0: All Days (M-Su),4: Peak PM (3pm-7pm),143,16,12,19.225,0.819,7.43,0.09,10.000,12.000,19.000,21.000
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,N/A,Oakdale Avenue / 13426687 / 5,0.052,yes,0,yes,2022-06,0: All Days (M-Su),5: Late PM (7pm-12am),122,15,12,19.225,0.793,6.33,0.09,10.000,12.000,19.000,22.000
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,N/A,Oakdale Avenue / 13426687 / 5,0.052,yes,0,yes,2022-06,1: Monday (M-M),0: All Day (12am-12am),501,16,12,19.225,0.808,25.99,0.32,10.000,13.000,19.000,22.000
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,N/A,Oakdale Avenue / 13426687 / 5,0.052,yes,0,yes,2022-06,1: Monday (M-M),1: Early AM (12am-6am),14,15,13,19.225,0.765,0.71,0.01,N/A,N/A,N/A,N/A
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,N/A,Oakdale Avenue / 13426687 / 5,0.052,yes,0,yes,2022-06,1: Monday (M-M),2: Peak AM (6am-10am),94,16,12,19.225,0.811,4.88,0.06,9.000,13.000,19.000,21.000
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,N/A,Oakdale Avenue / 13426687 / 5,0.052,yes,0,yes,2022-06,1: Monday (M-M),3: Mid-Day (10am-3pm),161,16,12,19.225,0.837,8.35,0.08,11.000,13.000,19.000,22.000
