Data Periods,Mode of Travel,Zone ID,Zone Name,Line Zone Length (Miles),Zone Is Pass-Through,Zone Direction (degrees),Zone is Bi-Direction,Year-Month,Day Type,Day Part,Average Daily Segment Traffic (StL Volume),Avg Segment Speed (mph),Avg Segment Travel Time (sec),Free Flow Speed (mph),Free Flow Factor,Vehicle Miles of Travel (StL Volume),Vehicle Hours of Delay (StL Volume),5th Speed Percentile,15th Speed Percentile,85th Speed Percentile,95th Speed Percentile
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,N/A,North Neptune Avenue / 1282320,0.201,yes,356,yes,2021-06,5: Friday (F-F),0: All Day (12am-12am),579,21,35,26.250,0.782,116.19,1.23,8.000,13.000,27.000,33.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,N/A,North Neptune Avenue / 1282320,0.201,yes,356,yes,2021-06,5: Friday (F-F),1: Early AM (12am-6am),18,20,36,26.250,0.761,3.59,0.04,N/A,N/A,N/A,N/A
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,N/A,North Neptune Avenue / 1282320,0.201,yes,356,yes,2021-06,5: Friday (F-F),2: Peak AM (6am-10am),68,22,34,26.250,0.822,13.75,0.11,12.000,16.000,27.000,29.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,N/A,North Neptune Avenue / 1282320,0.201,yes,356,yes,2021-06,5: Friday (F-F),3: Mid-Day (10am-3pm),125,21,34,26.250,0.815,25.04,0.22,9.000,15.000,28.000,33.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,N/A,North Neptune Avenue / 1282320,0.201,yes,356,yes,2021-06,5: Friday (F-F),4: Peak PM (3pm-7pm),145,22,33,26.250,0.830,29.21,0.23,12.000,15.000,30.000,34.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,N/A,North Neptune Avenue / 1282320,0.201,yes,356,yes,2021-06,5: Friday (F-F),5: Late PM (7pm-12am),222,19,38,26.250,0.722,44.60,0.66,8.000,12.000,24.000,28.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,N/A,North Neptune Avenue / 1282320,0.201,yes,356,yes,2021-06,6: Saturday (Sa-Sa),0: All Day (12am-12am),427,21,34,26.250,0.799,85.70,0.82,10.000,14.000,27.000,33.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,N/A,North Neptune Avenue / 1282320,0.201,yes,356,yes,2021-06,6: Saturday (Sa-Sa),1: Early AM (12am-6am),68,20,37,26.250,0.750,13.57,0.17,9.000,13.000,25.000,29.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,N/A,North Neptune Avenue / 1282320,0.201,yes,356,yes,2021-06,6: Saturday (Sa-Sa),2: Peak AM (6am-10am),40,20,37,26.250,0.752,8.04,0.10,9.000,14.000,23.000,27.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,N/A,North Neptune Avenue / 1282320,0.201,yes,356,yes,2021-06,6: Saturday (Sa-Sa),3: Mid-Day (10am-3pm),128,22,33,26.250,0.832,25.61,0.20,12.000,15.000,28.000,32.000
