Data Periods,Mode of Travel,Zone ID,Zone Name,Line Zone Length (Miles),Zone Is Pass-Through,Zone Direction (degrees),Zone is Bi-Direction,Year-Month,Day Type,Day Part,Average Daily Segment Traffic (StL Volume),Avg Segment Speed (mph),Avg Segment Travel Time (sec),Free Flow Speed (mph),Free Flow Factor,Vehicle Miles of Travel (StL Volume),Vehicle Hours of Delay (StL Volume),15th Speed Percentile,85th Speed Percentile,95th Speed Percentile
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,N/A,Texas Avenue / 13380340 / 5,0.066,yes,235,yes,2022-06,2: Friday (F-F),1: Early AM (12am-6am),46,17,14,19.338,0.879,3.05,0.02,12,23,35
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,N/A,Texas Avenue / 13380340 / 5,0.066,yes,235,yes,2022-06,2: Friday (F-F),2: Peak AM (6am-10am),358,14,16,19.338,0.748,23.69,0.41,8,20,24
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,N/A,Texas Avenue / 13380340 / 5,0.066,yes,235,yes,2022-06,2: Friday (F-F),3: Mid-Day (10am-3pm),731,15,15,19.338,0.8,48.31,0.63,10,20,25
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,N/A,Texas Avenue / 13380340 / 5,0.066,yes,235,yes,2022-06,2: Friday (F-F),4: Peak PM (3pm-7pm),975,15,16,19.338,0.775,64.45,0.96,10,20,23
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,N/A,Texas Avenue / 13380340 / 5,0.066,yes,235,yes,2022-06,2: Friday (F-F),5: Late PM (7pm-12am),495,16,15,19.338,0.812,32.72,0.39,10,20,24
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,N/A,Texas Avenue / 13380340 / 5,0.066,yes,235,yes,2022-06,3: Weekend (Sa-Su),1: Early AM (12am-6am),130,16,15,19.338,0.809,8.61,0.11,10,21,25
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,N/A,Texas Avenue / 13380340 / 5,0.066,yes,235,yes,2022-06,3: Weekend (Sa-Su),2: Peak AM (6am-10am),144,16,15,19.338,0.803,9.54,0.12,10,20,25
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,N/A,Texas Avenue / 13380340 / 5,0.066,yes,235,yes,2022-06,3: Weekend (Sa-Su),3: Mid-Day (10am-3pm),466,16,15,19.338,0.815,30.82,0.36,10,20,25
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,N/A,Texas Avenue / 13380340 / 5,0.066,yes,235,yes,2022-06,3: Weekend (Sa-Su),4: Peak PM (3pm-7pm),395,15,16,19.338,0.789,26.08,0.36,10,20,24
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,N/A,Texas Avenue / 13380340 / 5,0.066,yes,235,yes,2022-06,3: Weekend (Sa-Su),5: Late PM (7pm-12am),337,16,15,19.338,0.819,22.25,0.25,11,21,25
