Data Periods,Mode of Travel,Zone ID,Zone Name,Line Zone Length (Miles),Zone Is Pass-Through,Zone Direction (degrees),Zone is Bi-Direction,Year-Month,Day Type,Day Part,Average Daily Segment Traffic (StL Volume),Avg Segment Speed (mph),Avg Segment Travel Time (sec),Free Flow Speed (mph),Free Flow Factor,Vehicle Miles of Travel (StL Volume),Vehicle Hours of Delay (StL Volume)
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,N/A,South Hoover Street / 17167706,0.301,yes,180,yes,2022-01,7: Sunday (Su-Su),0: All Day (12am-12am),2799,29,38,31.421,0.916,843.89,2.45
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,N/A,South Hoover Street / 17167706,0.301,yes,180,yes,2022-01,7: Sunday (Su-Su),1: Early AM (12am-6am),198,30,36,31.421,0.947,59.82,0.11
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,N/A,South Hoover Street / 17167706,0.301,yes,180,yes,2022-01,7: Sunday (Su-Su),2: Peak AM (6am-10am),289,29,37,31.421,0.936,87.17,0.19
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,N/A,South Hoover Street / 17167706,0.301,yes,180,yes,2022-01,7: Sunday (Su-Su),3: Mid-Day (10am-3pm),963,29,37,31.421,0.921,290.23,0.79
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,N/A,South Hoover Street / 17167706,0.301,yes,180,yes,2022-01,7: Sunday (Su-Su),4: Peak PM (3pm-7pm),789,28,38,31.421,0.905,238.02,0.80
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,N/A,South Hoover Street / 17167706,0.301,yes,180,yes,2022-01,7: Sunday (Su-Su),5: Late PM (7pm-12am),559,28,38,31.421,0.903,168.66,0.57
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,N/A,South Hoover Street / 17167706,0.301,yes,180,yes,2022-02,0: All Days (M-Su),0: All Day (12am-12am),5009,29,38,31.692,0.907,1510.25,4.91
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,N/A,South Hoover Street / 17167706,0.301,yes,180,yes,2022-02,0: All Days (M-Su),1: Early AM (12am-6am),288,30,37,31.692,0.938,86.96,0.18
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,N/A,South Hoover Street / 17167706,0.301,yes,180,yes,2022-02,0: All Days (M-Su),2: Peak AM (6am-10am),981,30,37,31.692,0.931,295.75,0.69
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,N/A,South Hoover Street / 17167706,0.301,yes,180,yes,2022-02,0: All Days (M-Su),3: Mid-Day (10am-3pm),1396,29,38,31.692,0.905,420.97,1.39
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,N/A,South Hoover Street / 17167706,0.301,yes,180,yes,2022-02,0: All Days (M-Su),4: Peak PM (3pm-7pm),1508,28,38,31.692,0.895,454.53,1.69
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,N/A,South Hoover Street / 17167706,0.301,yes,180,yes,2022-02,0: All Days (M-Su),5: Late PM (7pm-12am),836,28,38,31.692,0.892,252.05,0.97
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,N/A,South Hoover Street / 17167706,0.301,yes,180,yes,2022-02,1: Monday (M-M),0: All Day (12am-12am),4955,29,37,31.692,0.916,1493.94,4.30
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,N/A,South Hoover Street / 17167706,0.301,yes,180,yes,2022-02,1: Monday (M-M),1: Early AM (12am-6am),347,30,36,31.692,0.949,104.66,0.18
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,N/A,South Hoover Street / 17167706,0.301,yes,180,yes,2022-02,1: Monday (M-M),2: Peak AM (6am-10am),1041,30,36,31.692,0.942,313.92,0.61
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,N/A,South Hoover Street / 17167706,0.301,yes,180,yes,2022-02,1: Monday (M-M),3: Mid-Day (10am-3pm),1508,29,38,31.692,0.911,454.77,1.39
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,N/A,South Hoover Street / 17167706,0.301,yes,180,yes,2022-02,1: Monday (M-M),4: Peak PM (3pm-7pm),1428,29,38,31.692,0.905,430.67,1.42
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,N/A,South Hoover Street / 17167706,0.301,yes,180,yes,2022-02,1: Monday (M-M),5: Late PM (7pm-12am),630,28,38,31.692,0.893,189.92,0.72
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,N/A,South Hoover Street / 17167706,0.301,yes,180,yes,2022-02,2: Tuesday (Tu-Tu),0: All Day (12am-12am),5449,29,38,31.692,0.907,1642.77,5.32
