Data Periods,Mode of Travel,Zone ID,Zone Name,Zone Is Pass-Through,Zone Direction (degrees),Zone is Bi-Direction,Year-Month,Day Type,Day Part,Average Daily Spot Traffic (StL Volume),Avg Spot Speed (mph),Free Flow Speed (mph),Free Flow Factor,5th Speed Percentile,85th Speed Percentile,95th Speed Percentile
"Jan 01, 2024 - Dec 31, 2024",All Vehicles - StL All Vehicles Volume,,South Hoover Street,yes,180,yes,2024-01,7: Sunday (Su-Su),0: All Day (12am-12am),3895,19,23.099,0.834,11.000,24.000,28.000
"Jan 01, 2024 - Dec 31, 2024",All Vehicles - StL All Vehicles Volume,,South Hoover Street,yes,180,yes,2024-01,7: Sunday (Su-Su),1: Early AM (12am-6am),298,21,23.099,0.890,11.000,27.000,35.000
"Jan 01, 2024 - Dec 31, 2024",All Vehicles - StL All Vehicles Volume,,South Hoover Street,yes,180,yes,2024-01,7: Sunday (Su-Su),2: Peak AM (6am-10am),450,20,23.099,0.855,11.000,25.000,29.000
"Jan 01, 2024 - Dec 31, 2024",All Vehicles - StL All Vehicles Volume,,South Hoover Street,yes,180,yes,2024-01,7: Sunday (Su-Su),3: Mid-Day (10am-3pm),1340,19,23.099,0.831,11.000,24.000,28.000
"Jan 01, 2024 - Dec 31, 2024",All Vehicles - StL All Vehicles Volume,,South Hoover Street,yes,180,yes,2024-01,7: Sunday (Su-Su),4: Peak PM (3pm-7pm),1078,19,23.099,0.821,11.000,23.000,27.000
"Jan 01, 2024 - Dec 31, 2024",All Vehicles - StL All Vehicles Volume,,South Hoover Street,yes,180,yes,2024-01,7: Sunday (Su-Su),5: Late PM (7pm-12am),730,19,23.099,0.822,11.000,24.000,28.000
"Jan 01, 2024 - Dec 31, 2024",All Vehicles - StL All Vehicles Volume,,South Hoover Street,yes,180,yes,2024-02,0: All Days (M-Su),0: All Day (12am-12am),4863,19,23.578,0.797,10.000,24.000,28.000
"Jan 01, 2024 - Dec 31, 2024",All Vehicles - StL All Vehicles Volume,,South Hoover Street,yes,180,yes,2024-02,0: All Days (M-Su),1: Early AM (12am-6am),309,21,23.578,0.891,12.000,26.000,33.000
"Jan 01, 2024 - Dec 31, 2024",All Vehicles - StL All Vehicles Volume,,South Hoover Street,yes,180,yes,2024-02,0: All Days (M-Su),2: Peak AM (6am-10am),983,19,23.578,0.818,11.000,24.000,29.000
"Jan 01, 2024 - Dec 31, 2024",All Vehicles - StL All Vehicles Volume,,South Hoover Street,yes,180,yes,2024-02,0: All Days (M-Su),3: Mid-Day (10am-3pm),1295,19,23.578,0.804,11.000,23.000,28.000
"Jan 01, 2024 - Dec 31, 2024",All Vehicles - StL All Vehicles Volume,,South Hoover Street,yes,180,yes,2024-02,0: All Days (M-Su),4: Peak PM (3pm-7pm),1436,18,23.578,0.756,10.000,23.000,26.000
"Jan 01, 2024 - Dec 31, 2024",All Vehicles - StL All Vehicles Volume,,South Hoover Street,yes,180,yes,2024-02,0: All Days (M-Su),5: Late PM (7pm-12am),840,19,23.578,0.800,11.000,24.000,28.000
"Jan 01, 2024 - Dec 31, 2024",All Vehicles - StL All Vehicles Volume,,South Hoover Street,yes,180,yes,2024-02,1: Monday (M-M),0: All Day (12am-12am),4582,19,23.578,0.800,11.000,24.000,28.000
"Jan 01, 2024 - Dec 31, 2024",All Vehicles - StL All Vehicles Volume,,South Hoover Street,yes,180,yes,2024-02,1: Monday (M-M),1: Early AM (12am-6am),349,22,23.578,0.914,13.000,27.000,34.000
"Jan 01, 2024 - Dec 31, 2024",All Vehicles - StL All Vehicles Volume,,South Hoover Street,yes,180,yes,2024-02,1: Monday (M-M),2: Peak AM (6am-10am),962,19,23.578,0.817,11.000,24.000,28.000
"Jan 01, 2024 - Dec 31, 2024",All Vehicles - StL All Vehicles Volume,,South Hoover Street,yes,180,yes,2024-02,1: Monday (M-M),3: Mid-Day (10am-3pm),1201,19,23.578,0.816,11.000,24.000,28.000
"Jan 01, 2024 - Dec 31, 2024",All Vehicles - StL All Vehicles Volume,,South Hoover Street,yes,180,yes,2024-02,1: Monday (M-M),4: Peak PM (3pm-7pm),1354,17,23.578,0.741,10.000,22.000,25.000
"Jan 01, 2024 - Dec 31, 2024",All Vehicles - StL All Vehicles Volume,,South Hoover Street,yes,180,yes,2024-02,1: Monday (M-M),5: Late PM (7pm-12am),715,19,23.578,0.809,11.000,24.000,30.000
"Jan 01, 2024 - Dec 31, 2024",All Vehicles - StL All Vehicles Volume,,South Hoover Street,yes,180,yes,2024-02,2: Tuesday (Tu-Tu),0: All Day (12am-12am),5040,19,23.578,0.787,10.000,23.000,27.000
"Jan 01, 2024 - Dec 31, 2024",All Vehicles - StL All Vehicles Volume,,South Hoover Street,yes,180,yes,2024-02,2: Tuesday (Tu-Tu),1: Early AM (12am-6am),259,21,23.578,0.903,13.000,26.000,30.000
"Jan 01, 2024 - Dec 31, 2024",All Vehicles - StL All Vehicles Volume,,South Hoover Street,yes,180,yes,2024-02,2: Tuesday (Tu-Tu),2: Peak AM (6am-10am),1203,19,23.578,0.793,10.000,24.000,28.000
"Jan 01, 2024 - Dec 31, 2024",All Vehicles - StL All Vehicles Volume,,South Hoover Street,yes,180,yes,2024-02,2: Tuesday (Tu-Tu),3: Mid-Day (10am-3pm),1198,19,23.578,0.799,10.000,23.000,27.000
"Jan 01, 2024 - Dec 31, 2024",All Vehicles - StL All Vehicles Volume,,South Hoover Street,yes,180,yes,2024-02,2: Tuesday (Tu-Tu),4: Peak PM (3pm-7pm),1588,18,23.578,0.752,10.000,23.000,26.000
"Jan 01, 2024 - Dec 31, 2024",All Vehicles - StL All Vehicles Volume,,South Hoover Street,yes,180,yes,2024-02,2: Tuesday (Tu-Tu),5: Late PM (7pm-12am),793,19,23.578,0.792,11.000,23.000,28.000
"Jan 01, 2024 - Dec 31, 2024",All Vehicles - StL All Vehicles Volume,,South Hoover Street,yes,180,yes,2024-02,3: Wednesday (W-W),0: All Day (12am-12am),5361,19,23.578,0.792,10.000,23.000,28.000
"Jan 01, 2024 - Dec 31, 2024",All Vehicles - StL All Vehicles Volume,,South Hoover Street,yes,180,yes,2024-02,3: Wednesday (W-W),1: Early AM (12am-6am),297,21,23.578,0.892,11.000,27.000,33.000
"Jan 01, 2024 - Dec 31, 2024",All Vehicles - StL All Vehicles Volume,,South Hoover Street,yes,180,yes,2024-02,3: Wednesday (W-W),2: Peak AM (6am-10am),1266,19,23.578,0.817,11.000,24.000,29.000
"Jan 01, 2024 - Dec 31, 2024",All Vehicles - StL All Vehicles Volume,,South Hoover Street,yes,180,yes,2024-02,3: Wednesday (W-W),3: Mid-Day (10am-3pm),1189,19,23.578,0.799,10.000,23.000,28.000
"Jan 01, 2024 - Dec 31, 2024",All Vehicles - StL All Vehicles Volume,,South Hoover Street,yes,180,yes,2024-02,3: Wednesday (W-W),4: Peak PM (3pm-7pm),1713,18,23.578,0.748,10.000,23.000,26.000
"Jan 01, 2024 - Dec 31, 2024",All Vehicles - StL All Vehicles Volume,,South Hoover Street,yes,180,yes,2024-02,3: Wednesday (W-W),5: Late PM (7pm-12am),895,19,23.578,0.801,11.000,24.000,28.000
"Jan 01, 2024 - Dec 31, 2024",All Vehicles - StL All Vehicles Volume,,South Hoover Street,yes,180,yes,2024-02,4: Thursday (Th-Th),0: All Day (12am-12am),4784,19,23.578,0.796,10.000,23.000,28.000
"Jan 01, 2024 - Dec 31, 2024",All Vehicles - StL All Vehicles Volume,,South Hoover Street,yes,180,yes,2024-02,4: Thursday (Th-Th),1: Early AM (12am-6am),291,21,23.578,0.896,11.000,26.000,33.000
"Jan 01, 2024 - Dec 31, 2024",All Vehicles - StL All Vehicles Volume,,South Hoover Street,yes,180,yes,2024-02,4: Thursday (Th-Th),2: Peak AM (6am-10am),1184,19,23.578,0.805,11.000,23.000,27.000
"Jan 01, 2024 - Dec 31, 2024",All Vehicles - StL All Vehicles Volume,,South Hoover Street,yes,180,yes,2024-02,4: Thursday (Th-Th),3: Mid-Day (10am-3pm),1285,19,23.578,0.806,11.000,23.000,27.000
"Jan 01, 2024 - Dec 31, 2024",All Vehicles - StL All Vehicles Volume,,South Hoover Street,yes,180,yes,2024-02,4: Thursday (Th-Th),4: Peak PM (3pm-7pm),1371,18,23.578,0.751,9.000,23.000,27.000
"Jan 01, 2024 - Dec 31, 2024",All Vehicles - StL All Vehicles Volume,,South Hoover Street,yes,180,yes,2024-02,4: Thursday (Th-Th),5: Late PM (7pm-12am),652,19,23.578,0.808,11.000,24.000,29.000
"Jan 01, 2024 - Dec 31, 2024",All Vehicles - StL All Vehicles Volume,,South Hoover Street,yes,180,yes,2024-02,5: Friday (F-F),0: All Day (12am-12am),5583,19,23.578,0.786,10.000,23.000,28.000
"Jan 01, 2024 - Dec 31, 2024",All Vehicles - StL All Vehicles Volume,,South Hoover Street,yes,180,yes,2024-02,5: Friday (F-F),1: Early AM (12am-6am),317,21,23.578,0.887,12.000,26.000,32.000
"Jan 01, 2024 - Dec 31, 2024",All Vehicles - StL All Vehicles Volume,,South Hoover Street,yes,180,yes,2024-02,5: Friday (F-F),2: Peak AM (6am-10am),1139,19,23.578,0.819,11.000,24.000,28.000
"Jan 01, 2024 - Dec 31, 2024",All Vehicles - StL All Vehicles Volume,,South Hoover Street,yes,180,yes,2024-02,5: Friday (F-F),3: Mid-Day (10am-3pm),1325,19,23.578,0.791,10.000,23.000,28.000
"Jan 01, 2024 - Dec 31, 2024",All Vehicles - StL All Vehicles Volume,,South Hoover Street,yes,180,yes,2024-02,5: Friday (F-F),4: Peak PM (3pm-7pm),1721,17,23.578,0.736,9.000,22.000,26.000
"Jan 01, 2024 - Dec 31, 2024",All Vehicles - StL All Vehicles Volume,,South Hoover Street,yes,180,yes,2024-02,5: Friday (F-F),5: Late PM (7pm-12am),1082,19,23.578,0.794,11.000,23.000,28.000
"Jan 01, 2024 - Dec 31, 2024",All Vehicles - StL All Vehicles Volume,,South Hoover Street,yes,180,yes,2024-02,6: Saturday (Sa-Sa),0: All Day (12am-12am),4889,19,23.578,0.804,11.000,24.000,28.000
