Data Periods,Mode of Travel,Zone ID,Zone Name,Zone Is Pass-Through,Zone Direction (degrees),Zone is Bi-Direction,Day Type,Day Part,Average Daily Spot Traffic (StL Volume),Avg Spot Speed (mph),Free Flow Speed (mph),Free Flow Factor
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,South Saint Andrew's Place,yes,180,yes,6: Saturday (Sa-Sa),4: Peak PM (3pm-7pm),201,17,25.393,0.657
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,South Saint Andrew's Place,yes,180,yes,6: Saturday (Sa-Sa),5: Late PM (7pm-12am),115,17,25.393,0.653
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,South Saint Andrew's Place,yes,180,yes,7: Sunday (Su-Su),0: All Day (12am-12am),493,17,25.393,0.660
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,South Saint Andrew's Place,yes,180,yes,7: Sunday (Su-Su),1: Early AM (12am-6am),41,17,25.393,0.681
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,South Saint Andrew's Place,yes,180,yes,7: Sunday (Su-Su),2: Peak AM (6am-10am),54,17,25.393,0.675
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,South Saint Andrew's Place,yes,180,yes,7: Sunday (Su-Su),3: Mid-Day (10am-3pm),168,17,25.393,0.660
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,South Saint Andrew's Place,yes,180,yes,7: Sunday (Su-Su),4: Peak PM (3pm-7pm),138,17,25.393,0.652
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,South Saint Andrew's Place,yes,180,yes,7: Sunday (Su-Su),5: Late PM (7pm-12am),92,17,25.393,0.652
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,South Saint Andrew's Place (1),yes,180,yes,0: All Days (M-Su),0: All Day (12am-12am),948,15,27.020,0.558
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,South Saint Andrew's Place (1),yes,180,yes,0: All Days (M-Su),1: Early AM (12am-6am),33,16,27.020,0.581
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,South Saint Andrew's Place (1),yes,180,yes,0: All Days (M-Su),2: Peak AM (6am-10am),165,15,27.020,0.568
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,South Saint Andrew's Place (1),yes,180,yes,0: All Days (M-Su),3: Mid-Day (10am-3pm),256,15,27.020,0.556
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,South Saint Andrew's Place (1),yes,180,yes,0: All Days (M-Su),4: Peak PM (3pm-7pm),368,15,27.020,0.554
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,South Saint Andrew's Place (1),yes,180,yes,0: All Days (M-Su),5: Late PM (7pm-12am),125,15,27.020,0.552
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,South Saint Andrew's Place (1),yes,180,yes,1: Monday (M-M),0: All Day (12am-12am),914,15,27.020,0.553
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,South Saint Andrew's Place (1),yes,180,yes,1: Monday (M-M),1: Early AM (12am-6am),31,16,27.020,0.585
