Data Periods,Mode of Travel,Zone ID,Zone Name,Zone Is Pass-Through,Zone Direction (degrees),Zone is Bi-Direction,Year-Month,Day Type,Day Part,Average Daily Spot Traffic (StL Volume),Avg Spot Speed (mph),Free Flow Speed (mph),Free Flow Factor,15th Speed Percentile,85th Speed Percentile,95th Speed Percentile
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,North Hayworth Avenue,yes,0,yes,2021-06,7: Sunday (Su-Su),2: Peak AM (6am-10am),96,15,25.776,0.584,6.000,21.000,23.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,North Hayworth Avenue,yes,0,yes,2021-06,7: Sunday (Su-Su),3: Mid-Day (10am-3pm),1170,13,25.776,0.501,9.000,17.000,20.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,North Hayworth Avenue,yes,0,yes,2021-06,7: Sunday (Su-Su),4: Peak PM (3pm-7pm),719,14,25.776,0.549,9.000,18.000,21.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,North Hayworth Avenue,yes,0,yes,2021-06,7: Sunday (Su-Su),5: Late PM (7pm-12am),316,15,25.776,0.591,8.000,20.000,23.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,North Hayworth Avenue,yes,0,yes,2021-07,0: All Days (M-Su),0: All Day (12am-12am),2087,15,18.739,0.789,10.000,20.000,22.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,North Hayworth Avenue,yes,0,yes,2021-07,0: All Days (M-Su),1: Early AM (12am-6am),69,15,18.739,0.774,6.000,21.000,25.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,North Hayworth Avenue,yes,0,yes,2021-07,0: All Days (M-Su),2: Peak AM (6am-10am),138,17,18.739,0.901,12.000,21.000,24.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,North Hayworth Avenue,yes,0,yes,2021-07,0: All Days (M-Su),3: Mid-Day (10am-3pm),804,15,18.739,0.774,10.000,19.000,22.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,North Hayworth Avenue,yes,0,yes,2021-07,0: All Days (M-Su),4: Peak PM (3pm-7pm),695,15,18.739,0.782,10.000,19.000,22.000
"Jun 01, 2021 - Jun 01, 2022",All Vehicles - StL All Vehicles Volume,,North Hayworth Avenue,yes,0,yes,2021-07,0: All Days (M-Su),5: Late PM (7pm-12am),382,15,18.739,0.795,8.000,20.000,23.000
