Data Periods,Mode of Travel,Zone ID,Zone Name,Line Zone Length (Miles),Zone Is Pass-Through,Zone Direction (degrees),Zone is Bi-Direction,Year-Month,Day Type,Day Part,Average Daily Segment Traffic (StL Volume),Avg Segment Speed (mph),Avg Segment Travel Time (sec),Free Flow Speed (mph),Free Flow Factor,Vehicle Miles of Travel (StL Volume),Vehicle Hours of Delay (StL Volume),5th Speed Percentile,15th Speed Percentile,85th Speed Percentile,95th Speed Percentile
"Jan 01, 2021 - Dec 31, 2021",All Vehicles - StL All Vehicles Volume,N/A,16th,0.022,yes,226,yes,2021-01,6: Saturday (Sa-Sa),5: Late PM (7pm-12am),81,20,4,26.794,0.765,1.78,0.02,8.000,12.000,27.000,30.000
"Jan 01, 2021 - Dec 31, 2021",All Vehicles - StL All Vehicles Volume,N/A,16th,0.022,yes,226,yes,2021-01,7: Sunday (Su-Su),0: All Day (12am-12am),366,21,4,26.794,0.794,8.02,0.08,9.000,13.000,28.000,32.000
"Jan 01, 2021 - Dec 31, 2021",All Vehicles - StL All Vehicles Volume,N/A,16th,0.022,yes,226,yes,2021-01,7: Sunday (Su-Su),1: Early AM (12am-6am),12,22,4,26.794,0.818,0.25,0.00,N/A,N/A,N/A,N/A
"Jan 01, 2021 - Dec 31, 2021",All Vehicles - StL All Vehicles Volume,N/A,16th,0.022,yes,226,yes,2021-01,7: Sunday (Su-Su),2: Peak AM (6am-10am),31,22,4,26.794,0.820,0.67,0.01,13.000,14.000,28.000,28.000
"Jan 01, 2021 - Dec 31, 2021",All Vehicles - StL All Vehicles Volume,N/A,16th,0.022,yes,226,yes,2021-01,7: Sunday (Su-Su),3: Mid-Day (10am-3pm),175,21,4,26.794,0.774,3.83,0.04,9.000,13.000,27.000,30.000
"Jan 01, 2021 - Dec 31, 2021",All Vehicles - StL All Vehicles Volume,N/A,16th,0.022,yes,226,yes,2021-01,7: Sunday (Su-Su),4: Peak PM (3pm-7pm),109,22,4,26.794,0.822,2.38,0.02,7.000,13.000,29.000,33.000
"Jan 01, 2021 - Dec 31, 2021",All Vehicles - StL All Vehicles Volume,N/A,16th,0.022,yes,226,yes,2021-01,7: Sunday (Su-Su),5: Late PM (7pm-12am),40,21,4,26.794,0.782,0.88,0.01,10.000,12.000,27.000,30.000
"Jan 01, 2021 - Dec 31, 2021",All Vehicles - StL All Vehicles Volume,N/A,16th,0.022,yes,226,yes,2021-02,0: All Days (M-Su),0: All Day (12am-12am),690,21,4,27.340,0.783,15.12,0.15,9.000,13.000,28.000,33.000
"Jan 01, 2021 - Dec 31, 2021",All Vehicles - StL All Vehicles Volume,N/A,16th,0.022,yes,226,yes,2021-02,0: All Days (M-Su),1: Early AM (12am-6am),23,21,4,27.340,0.779,0.51,0.01,13.000,15.000,28.000,30.000
"Jan 01, 2021 - Dec 31, 2021",All Vehicles - StL All Vehicles Volume,N/A,16th,0.022,yes,226,yes,2021-02,0: All Days (M-Su),2: Peak AM (6am-10am),80,22,4,27.340,0.792,1.76,0.02,8.000,13.000,29.000,34.000
"Jan 01, 2021 - Dec 31, 2021",All Vehicles - StL All Vehicles Volume,N/A,16th,0.022,yes,226,yes,2021-02,0: All Days (M-Su),3: Mid-Day (10am-3pm),250,21,4,27.340,0.785,5.49,0.05,9.000,13.000,28.000,32.000
"Jan 01, 2021 - Dec 31, 2021",All Vehicles - StL All Vehicles Volume,N/A,16th,0.022,yes,226,yes,2021-02,0: All Days (M-Su),4: Peak PM (3pm-7pm),226,21,4,27.340,0.782,4.96,0.05,9.000,13.000,28.000,33.000
"Jan 01, 2021 - Dec 31, 2021",All Vehicles - StL All Vehicles Volume,N/A,16th,0.022,yes,226,yes,2021-02,0: All Days (M-Su),5: Late PM (7pm-12am),110,21,4,27.340,0.774,2.41,0.03,9.000,13.000,28.000,32.000
