Data Periods,Mode of Travel,Zone ID,Zone Name,Line Zone Length (Miles),Zone Is Pass-Through,Zone Direction (degrees),Zone is Bi-Direction,Year-Month,Day Type,Day Part,Average Daily Segment Traffic (StL Volume),Avg Segment Speed (mph),Avg Segment Travel Time (sec),Free Flow Speed (mph),Free Flow Factor,Vehicle Miles of Travel (StL Volume),Vehicle Hours of Delay (StL Volume),5th Speed Percentile,15th Speed Percentile,85th Speed Percentile,95th Speed Percentile
"Jun 01, 2020 - Jun 01, 2021",All Vehicles - StL All Vehicles Volume,N/A,Oakdale Avenue / 13426687 / 5,0.052,yes,0,yes,2020-06,3: Wednesday (W-W),0: All Day (12am-12am),957,17,11,20.620,0.828,49.71,0.50,11.000,14.000,21.000,24.000
"Jun 01, 2020 - Jun 01, 2021",All Vehicles - StL All Vehicles Volume,N/A,Oakdale Avenue / 13426687 / 5,0.052,yes,0,yes,2020-06,3: Wednesday (W-W),1: Early AM (12am-6am),15,N/A,N/A,N/A,N/A,0.80,N/A,N/A,N/A,N/A,N/A
"Jun 01, 2020 - Jun 01, 2021",All Vehicles - StL All Vehicles Volume,N/A,Oakdale Avenue / 13426687 / 5,0.052,yes,0,yes,2020-06,3: Wednesday (W-W),2: Peak AM (6am-10am),160,18,10,20.620,0.874,8.28,0.06,14.000,14.000,21.000,21.000
"Jun 01, 2020 - Jun 01, 2021",All Vehicles - StL All Vehicles Volume,N/A,Oakdale Avenue / 13426687 / 5,0.052,yes,0,yes,2020-06,3: Wednesday (W-W),3: Mid-Day (10am-3pm),335,17,11,20.620,0.816,17.37,0.19,12.000,14.000,20.000,21.000
"Jun 01, 2020 - Jun 01, 2021",All Vehicles - StL All Vehicles Volume,N/A,Oakdale Avenue / 13426687 / 5,0.052,yes,0,yes,2020-06,3: Wednesday (W-W),4: Peak PM (3pm-7pm),314,17,11,20.620,0.832,16.30,0.16,10.000,13.000,23.000,26.000
"Jun 01, 2020 - Jun 01, 2021",All Vehicles - StL All Vehicles Volume,N/A,Oakdale Avenue / 13426687 / 5,0.052,yes,0,yes,2020-06,3: Wednesday (W-W),5: Late PM (7pm-12am),134,17,11,20.620,0.821,6.95,0.07,15.000,15.000,18.000,20.000
"Jun 01, 2020 - Jun 01, 2021",All Vehicles - StL All Vehicles Volume,N/A,Oakdale Avenue / 13426687 / 5,0.052,yes,0,yes,2020-06,4: Thursday (Th-Th),0: All Day (12am-12am),1153,17,11,20.620,0.832,59.86,0.59,12.000,14.000,21.000,25.000
"Jun 01, 2020 - Jun 01, 2021",All Vehicles - StL All Vehicles Volume,N/A,Oakdale Avenue / 13426687 / 5,0.052,yes,0,yes,2020-06,4: Thursday (Th-Th),1: Early AM (12am-6am),21,N/A,N/A,N/A,N/A,1.07,N/A,N/A,N/A,N/A,N/A
"Jun 01, 2020 - Jun 01, 2021",All Vehicles - StL All Vehicles Volume,N/A,Oakdale Avenue / 13426687 / 5,0.052,yes,0,yes,2020-06,4: Thursday (Th-Th),2: Peak AM (6am-10am),232,17,11,20.620,0.830,12.03,0.12,14.000,14.000,22.000,27.000
"Jun 01, 2020 - Jun 01, 2021",All Vehicles - StL All Vehicles Volume,N/A,Oakdale Avenue / 13426687 / 5,0.052,yes,0,yes,2020-06,4: Thursday (Th-Th),3: Mid-Day (10am-3pm),427,17,11,20.620,0.848,22.18,0.19,12.000,14.000,21.000,25.000
"Jun 01, 2020 - Jun 01, 2021",All Vehicles - StL All Vehicles Volume,N/A,Oakdale Avenue / 13426687 / 5,0.052,yes,0,yes,2020-06,4: Thursday (Th-Th),4: Peak PM (3pm-7pm),314,17,11,20.620,0.845,16.30,0.14,13.000,15.000,20.000,25.000
"Jun 01, 2020 - Jun 01, 2021",All Vehicles - StL All Vehicles Volume,N/A,Oakdale Avenue / 13426687 / 5,0.052,yes,0,yes,2020-06,4: Thursday (Th-Th),5: Late PM (7pm-12am),160,16,11,20.620,0.795,8.28,0.10,12.000,15.000,22.000,25.000
"Jun 01, 2020 - Jun 01, 2021",All Vehicles - StL All Vehicles Volume,N/A,Oakdale Avenue / 13426687 / 5,0.052,yes,0,yes,2020-06,5: Friday (F-F),0: All Day (12am-12am),1282,17,11,20.620,0.828,66.54,0.67,10.000,13.000,21.000,25.000
"Jun 01, 2020 - Jun 01, 2021",All Vehicles - StL All Vehicles Volume,N/A,Oakdale Avenue / 13426687 / 5,0.052,yes,0,yes,2020-06,5: Friday (F-F),1: Early AM (12am-6am),21,N/A,N/A,N/A,N/A,1.07,N/A,N/A,N/A,N/A,N/A
"Jun 01, 2020 - Jun 01, 2021",All Vehicles - StL All Vehicles Volume,N/A,Oakdale Avenue / 13426687 / 5,0.052,yes,0,yes,2020-06,5: Friday (F-F),2: Peak AM (6am-10am),247,17,11,20.620,0.815,12.83,0.14,10.000,14.000,19.000,20.000
"Jun 01, 2020 - Jun 01, 2021",All Vehicles - StL All Vehicles Volume,N/A,Oakdale Avenue / 13426687 / 5,0.052,yes,0,yes,2020-06,5: Friday (F-F),3: Mid-Day (10am-3pm),371,17,11,20.620,0.805,19.24,0.23,10.000,13.000,21.000,24.000
"Jun 01, 2020 - Jun 01, 2021",All Vehicles - StL All Vehicles Volume,N/A,Oakdale Avenue / 13426687 / 5,0.052,yes,0,yes,2020-06,5: Friday (F-F),4: Peak PM (3pm-7pm),463,18,10,20.620,0.871,24.05,0.17,10.000,13.000,21.000,26.000
"Jun 01, 2020 - Jun 01, 2021",All Vehicles - StL All Vehicles Volume,N/A,Oakdale Avenue / 13426687 / 5,0.052,yes,0,yes,2020-06,5: Friday (F-F),5: Late PM (7pm-12am),180,16,12,20.620,0.769,9.35,0.14,9.000,12.000,18.000,22.000
"Jun 01, 2020 - Jun 01, 2021",All Vehicles - StL All Vehicles Volume,N/A,Oakdale Avenue / 13426687 / 5,0.052,yes,0,yes,2020-06,6: Saturday (Sa-Sa),0: All Day (12am-12am),623,16,11,20.620,0.792,32.34,0.41,10.000,12.000,20.000,24.000
"Jun 01, 2020 - Jun 01, 2021",All Vehicles - StL All Vehicles Volume,N/A,Oakdale Avenue / 13426687 / 5,0.052,yes,0,yes,2020-06,6: Saturday (Sa-Sa),1: Early AM (12am-6am),14,N/A,N/A,N/A,N/A,0.72,N/A,N/A,N/A,N/A,N/A
"Jun 01, 2020 - Jun 01, 2021",All Vehicles - StL All Vehicles Volume,N/A,Oakdale Avenue / 13426687 / 5,0.052,yes,0,yes,2020-06,6: Saturday (Sa-Sa),2: Peak AM (6am-10am),66,17,11,20.620,0.806,3.41,0.04,N/A,N/A,N/A,N/A
"Jun 01, 2020 - Jun 01, 2021",All Vehicles - StL All Vehicles Volume,N/A,Oakdale Avenue / 13426687 / 5,0.052,yes,0,yes,2020-06,6: Saturday (Sa-Sa),3: Mid-Day (10am-3pm),211,18,11,20.620,0.853,10.96,0.09,11.000,14.000,24.000,26.000
"Jun 01, 2020 - Jun 01, 2021",All Vehicles - StL All Vehicles Volume,N/A,Oakdale Avenue / 13426687 / 5,0.052,yes,0,yes,2020-06,6: Saturday (Sa-Sa),4: Peak PM (3pm-7pm),183,16,12,20.620,0.763,9.52,0.14,7.000,11.000,20.000,22.000
"Jun 01, 2020 - Jun 01, 2021",All Vehicles - StL All Vehicles Volume,N/A,Oakdale Avenue / 13426687 / 5,0.052,yes,0,yes,2020-06,6: Saturday (Sa-Sa),5: Late PM (7pm-12am),149,15,12,20.620,0.745,7.73,0.13,10.000,12.000,18.000,21.000
"Jun 01, 2020 - Jun 01, 2021",All Vehicles - StL All Vehicles Volume,N/A,Oakdale Avenue / 13426687 / 5,0.052,yes,0,yes,2020-06,7: Sunday (Su-Su),0: All Day (12am-12am),530,17,11,20.620,0.820,27.49,0.29,10.000,13.000,21.000,24.000
