Data Periods,Mode of Travel,Zone ID,Zone Name,Zone Is Pass-Through,Zone Direction (degrees),Zone is Bi-Direction,Year-Month,Day Type,Day Part,Average Daily Spot Traffic (StL Volume),Avg Spot Speed (mph),Free Flow Speed (mph),Free Flow Factor,15th Speed Percentile,85th Speed Percentile,95th Speed Percentile
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,,North Hayworth Avenue,yes,0,yes,2022-07,5: Friday (F-F),1: Early AM (12am-6am),58,14,19.323,0.745,8.000,20.000,27.000
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,,North Hayworth Avenue,yes,0,yes,2022-07,5: Friday (F-F),2: Peak AM (6am-10am),194,18,19.323,0.909,13.000,22.000,25.000
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,,North Hayworth Avenue,yes,0,yes,2022-07,5: Friday (F-F),3: Mid-Day (10am-3pm),800,15,19.323,0.773,10.000,20.000,22.000
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,,North Hayworth Avenue,yes,0,yes,2022-07,5: Friday (F-F),4: Peak PM (3pm-7pm),760,15,19.323,0.766,10.000,19.000,21.000
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,,North Hayworth Avenue,yes,0,yes,2022-07,5: Friday (F-F),5: Late PM (7pm-12am),495,15,19.323,0.765,9.000,20.000,23.000
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,,North Hayworth Avenue,yes,0,yes,2022-07,6: Saturday (Sa-Sa),0: All Day (12am-12am),1921,14,19.323,0.738,9.000,19.000,22.000
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,,North Hayworth Avenue,yes,0,yes,2022-07,6: Saturday (Sa-Sa),1: Early AM (12am-6am),97,15,19.323,0.755,7.000,20.000,24.000
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,,North Hayworth Avenue,yes,0,yes,2022-07,6: Saturday (Sa-Sa),2: Peak AM (6am-10am),89,17,19.323,0.866,11.000,21.000,23.000
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,,North Hayworth Avenue,yes,0,yes,2022-07,6: Saturday (Sa-Sa),3: Mid-Day (10am-3pm),713,14,19.323,0.732,9.000,19.000,21.000
"Jun 01, 2022 - Jun 01, 2023",All Vehicles - StL All Vehicles Volume,,North Hayworth Avenue,yes,0,yes,2022-07,6: Saturday (Sa-Sa),4: Peak PM (3pm-7pm),630,14,19.323,0.734,9.000,19.000,21.000
